index,intersection,latitude,longitude,date,number,elements,vz_priority,borough
0,Elmwood Ave & Ocean Pkwy,40.62755566783823,-73.97139308697282,2022-01-25,1,Raised Crosswalk,no,Brooklyn
1,W 181st St & Fort Washington Ave,40.85090854449848,-73.9382841649875,2022-01-25,2,Raised Crosswalk,no,Manhattan
2,W 22nd St & 5th Ave,40.7408790804,-73.9900689543,2022-01-25,3,Leading Pedestrian Interval,no,Manhattan
3,Hill St & Warren St,40.62082821730664,-74.08189136568524,2022-01-25,4,Raised Crosswalk,no,Staten Island
4,Avenue P & Bedford Ave,40.6114767286,-73.9488202711,2022-01-26,5,Leading Pedestrian Interval,no,Brooklyn
5,Bedford Ave & Quentin Rd,40.6093328623,-73.9484149398,2022-01-26,6,Leading Pedestrian Interval,no,Brooklyn
6,Parkside Ave & St Paul Pl,40.6539938121,-73.9641477549,2022-01-27,7,Leading Pedestrian Interval,no,Brooklyn
7,E 22nd St & Avenue K,40.6235400264261,-73.95396992282662,2022-02-02,8,Traffic Signal,no,Brooklyn
8,Kingston Ave & Winthrop St,40.6576080464,-73.9423154106,2022-02-08,9,Leading Pedestrian Interval,no,Brooklyn
9,W 12th St & Hudson St,40.7375527292,-74.0056869723,2022-02-09,10,Leading Pedestrian Interval,no,Manhattan
10,W 13th St & 6th Ave,40.7366690286,-73.9973405816,2022-02-09,11,Leading Pedestrian Interval,no,Manhattan
11,E 54th St & Beverley Rd,40.64655002702332,-73.9259299421338,2022-02-17,12,"Leading Pedestrian Interval, Traffic Signal",no,Brooklyn
12,30th Ave & 70th St,40.76007003931332,-73.89755988209394,2022-02-17,13,Traffic Signal,no,Queens
13,Dr Martin Luther King Jr Blvd & Ogden Ave,40.8442372152,-73.9236232015,2022-02-18,14,Leading Pedestrian Interval,no,Bronx
14,E 150th St & Grand Concourse,40.8194792631,-73.9268779622,2022-02-18,15,Leading Pedestrian Interval,no,Bronx
15,E 151st St & Grand Concourse,40.820025301,-73.9266244544,2022-02-18,16,Leading Pedestrian Interval,no,Bronx
16,E 158th St & Concourse Vlg E,40.8238603387,-73.9194011196,2022-02-18,17,Leading Pedestrian Interval,no,Bronx
17,E 163rd St & Grant Ave,40.8275485826,-73.9184680162,2022-02-18,18,Leading Pedestrian Interval,no,Bronx
18,E 164th St & Grant Ave,40.8287585259,-73.9177980488,2022-02-18,19,Leading Pedestrian Interval,no,Bronx
19,E 164th St & River Ave,40.8306815074,-73.9242602904,2022-02-18,20,Leading Pedestrian Interval,no,Bronx
20,E 164th St & Walton Ave,40.8300517403,-73.9224145077,2022-02-18,21,Leading Pedestrian Interval,no,Bronx
21,E 166th St & Sherman Ave,40.8311297077,-73.9174446045,2022-02-18,22,Leading Pedestrian Interval,no,Bronx
22,E 166th St & Teller Ave,40.829699282,-73.9131246521,2022-02-18,23,Leading Pedestrian Interval,no,Bronx
23,E 168th St & Clay Ave,40.8325737482,-73.9105154649,2022-02-18,24,Leading Pedestrian Interval,no,Bronx
24,E 168th St & Walton Ave,40.8364386689,-73.9184101416,2022-02-18,25,Leading Pedestrian Interval,no,Bronx
25,E 169th St & Findlay Ave,40.8347206426,-73.9111991909,2022-02-18,26,Leading Pedestrian Interval,no,Bronx
26,E 169th St & Sheridan Ave,40.8359914289,-73.9148185477,2022-02-18,27,Leading Pedestrian Interval,no,Bronx
27,E 169th St & Teller Ave,40.8344317851,-73.9103431204,2022-02-18,28,Leading Pedestrian Interval,no,Bronx
28,E 169th St & Walton Ave,40.8371546408,-73.9178491107,2022-02-18,29,Leading Pedestrian Interval,no,Bronx
29,E 171st St & Walton Ave,40.8406330004,-73.9151776268,2022-02-18,30,Leading Pedestrian Interval,no,Bronx
30,E 173rd St & Eastburn Ave,40.8437322157,-73.9085668334,2022-02-18,31,Leading Pedestrian Interval,no,Bronx
31,E 173rd St & Weeks Ave,40.8436875779,-73.907659719,2022-02-18,32,Leading Pedestrian Interval,no,Bronx
32,E 174th St & Selwyn Ave,40.8448835892,-73.910274819,2022-02-18,33,Leading Pedestrian Interval,no,Bronx
33,E 174th St & Townsend Ave,40.8450614039,-73.9130865179,2022-02-18,34,Leading Pedestrian Interval,no,Bronx
34,E 174th St & Walton Ave,40.8447176944,-73.9122665214,2022-02-18,35,Leading Pedestrian Interval,no,Bronx
35,E Mt Eden Ave & Townsend Ave,40.8439778222,-73.9138577717,2022-02-18,36,Leading Pedestrian Interval,no,Bronx
36,E Mt Eden Ave & Walton Ave,40.8436423468,-73.9130305442,2022-02-18,37,Leading Pedestrian Interval,no,Bronx
37,Edward L Grant Hwy & Nelson Ave,40.8418183348,-73.922436926,2022-02-18,38,Leading Pedestrian Interval,no,Bronx
38,Edward L Grant Hwy & Shakespeare Ave,40.8410439965,-73.9219463111,2022-02-18,39,Leading Pedestrian Interval,no,Bronx
39,McClellan St & River Ave,40.8341631889,-73.9222181861,2022-02-18,40,Leading Pedestrian Interval,no,Bronx
40,McClellan St & Walton Ave,40.8335416195,-73.9203650889,2022-02-18,41,Leading Pedestrian Interval,no,Bronx
41,W 165th St & Ogden Ave,40.8344170474,-73.9285383189,2022-02-18,42,Leading Pedestrian Interval,no,Bronx
42,W 166th St & Ogden Ave,40.8356215525,-73.92785763,2022-02-18,43,Leading Pedestrian Interval,no,Bronx
43,W 167th St & Dr Martin Luther King Jr Blvd,40.8377101355,-73.9276313027,2022-02-18,44,Leading Pedestrian Interval,no,Bronx
44,W 167th St & Ogden Ave,40.8369385474,-73.9271153575,2022-02-18,45,Leading Pedestrian Interval,no,Bronx
45,W 168th St & Dr Martin Luther King Jr Blvd,40.8386210282,-73.9270737607,2022-02-18,46,Leading Pedestrian Interval,no,Bronx
46,W 168th St & Nelson Ave,40.8383616418,-73.9249165142,2022-02-18,47,Leading Pedestrian Interval,no,Bronx
47,W 168th St & Ogden Ave,40.8385216534,-73.9261848343,2022-02-18,48,Leading Pedestrian Interval,no,Bronx
48,W 169th St & Ogden Ave,40.8401761239,-73.925268644,2022-02-18,49,Leading Pedestrian Interval,no,Bronx
49,W 172nd St & Nelson Ave,40.8440652682,-73.9209886012,2022-02-18,50,Leading Pedestrian Interval,no,Bronx
50,W 172nd St & Shakespeare Ave,40.8436583991,-73.9200421526,2022-02-18,51,Leading Pedestrian Interval,no,Bronx
51,254th St & Grand Central Pkwy,40.75458006037147,-73.72319995133356,2022-02-18,52,Traffic Signal,no,Queens
52,Amboy Rd & Huguenot Ave,40.531918064,-74.1917442334,2022-02-18,53,Leading Pedestrian Interval,no,Staten Island
53,21st Rd & 21st St,40.7815804869,-73.9154586728,2022-02-22,54,Leading Pedestrian Interval,no,Queens
54,23rd St & 36th Ave,40.7590698607,-73.9350587752,2022-02-22,55,Leading Pedestrian Interval,no,Queens
55,27th Ave & 8th St,40.774213472,-73.9318162456,2022-02-22,56,Leading Pedestrian Interval,no,Queens
56,30th St & 38th Ave,40.7541938904,-73.9327896147,2022-02-22,57,Leading Pedestrian Interval,no,Queens
57,8th St & Astoria Blvd,40.7726988868,-73.9326842894,2022-02-22,58,Leading Pedestrian Interval,no,Queens
58,Bond St & Livingston St,40.6887855182,-73.9835717678,2022-02-23,59,Leading Pedestrian Interval,no,Brooklyn
59,Cumberland St & Lafayette Ave,40.6874165537,-73.9726862812,2022-02-23,60,Leading Pedestrian Interval,no,Brooklyn
60,E 36th St & Fillmore Ave,40.6113808558,-73.9331603045,2022-02-23,61,Leading Pedestrian Interval,no,Brooklyn
61,E 91st St & Winthrop St,40.659814044,-73.9264654829,2022-02-23,62,Leading Pedestrian Interval,no,Brooklyn
62,E 93rd St & Winthrop St,40.6607381107,-73.9250335443,2022-02-23,63,Leading Pedestrian Interval,no,Brooklyn
63,E 94th St & Farragut Rd,40.6450873987,-73.9063670565,2022-02-23,64,Leading Pedestrian Interval,no,Brooklyn
64,Hanson Pl & St Felix St,40.6851914929,-73.9770283964,2022-02-23,65,Leading Pedestrian Interval,no,Brooklyn
65,Hoyt St & Livingston St,40.6896311965,-73.9857387004,2022-02-23,66,Leading Pedestrian Interval,no,Brooklyn
66,Jay St & Metrotech Rdwy,40.6931254657,-73.9872525061,2022-02-23,67,Leading Pedestrian Interval,no,Brooklyn
67,Jay St & Willoughby St,40.692233421,-73.9872995549,2022-02-23,68,Leading Pedestrian Interval,no,Brooklyn
68,W 11th St & Kings Hwy,40.6055966838,-73.9840352047,2022-02-23,69,Leading Pedestrian Interval,no,Brooklyn
69,W 12th St & Kings Hwy,40.6057313095,-73.98500754,2022-02-23,70,Leading Pedestrian Interval,no,Brooklyn
70,W 13th St & Kings Hwy,40.6058769052,-73.9859726731,2022-02-23,71,Leading Pedestrian Interval,no,Brooklyn
71,5th Ave & E 72nd St,40.77246132,-73.9670408749,2022-02-23,72,Leading Pedestrian Interval,no,Manhattan
72,Jefferson St & Madison St,40.7127698809,-73.988482392,2022-02-23,73,Leading Pedestrian Interval,no,Manhattan
73,W 22nd St & 6th Ave,40.7422352202,-73.9932913561,2022-02-23,74,Leading Pedestrian Interval,no,Manhattan
